Date,Transect,Matt.Start,Matt.End,Mike.Start,Mike.End,Seaton.Start,Seaton.End,Sarah.Start,Sarah.End
2015-04-30,2,,,,,15:26,15:58,15:26,15:58
2015-04-30,119,23:13,23:59,23:13,23:59,,,,
2015-05-01,119,0:00,0:31,0:00,0:31,,,,
2015-05-01,27,,,,,8:02,8:33,8:02,8:33
2015-05-01,26,,,,,9:13,9:36,9:13,9:36
2015-05-01,24,,,,,10:18,10:44,10:18,10:44
2015-05-01,28,8:11,8:46,8:11,8:46,,,,
2015-05-01,118,9:24,10:07,9:24,10:07,,,,
2015-05-01,1316,13:05,13:36,13:05,13:36,,,,
2015-05-02,224,,,9:25,9:48,9:25,9:48,,
2015-05-02,207,,,10:30,10:58,10:30,10:58,,
2015-05-02,207,,,11:33,11:37,11:33,11:37,,
2015-05-02,204,,,12:52,13:25,12:52,13:25,,
2015-05-02,220,8:30,9:06,,,,,8:30,9:06
2015-05-02,225,10:12,10:55,,,,,10:12,10:55
2015-05-02,230,11:43,12:17,,,,,11:43,12:17
2015-05-02,232,13:08,13:36,,,,,13:08,13:36
